Date,XAO,,,,,,,
11/30/65,218.08,,,,,,,
12/31/65,223.86,,,,,,,
1/31/66,227.57,,,,,,,
2/28/66,223.75,,,,,,,
3/31/66,218.7,,,,,,,
4/30/66,228.08,,,,,,,
5/31/66,219.73,,,,,,,
6/30/66,228.19,,,,,,,
7/31/66,230.04,,,,,,,
8/31/66,219.84,,,,,,,
9/30/66,218.29,,,,,,,
10/31/66,219.01,,,,,,,
11/30/66,219.42,,,,,,,
12/31/66,231.79,,,,,,,
1/31/67,231.9,,,,,,,
2/28/67,225.09,,,,,,,
3/31/67,224.06,,,,,,,
4/30/67,233.85,,,,,,,
5/31/67,239.21,,,,,,,
6/30/67,252.41,,,,,,,
7/31/67,273.74,,,,,,,
8/31/67,276.42,,,,,,,
9/30/67,287.04,,,,,,,
10/31/67,304.35,,,,,,,
11/30/67,307.44,,,,,,,
12/31/67,310.84,,,,,,,
1/31/68,333.41,,,,,,,
2/29/68,318.47,,,,,,,
3/31/68,328.78,,,,,,,
4/30/68,375.26,,,,,,,
5/31/68,407.11,,,,,,,
6/30/68,418.55,,,,,,,
7/31/68,419.89,,,,,,,
8/31/68,422.46,,,,,,,
9/30/68,366.29,,,,,,,
10/31/68,365.88,,,,,,,
11/30/68,393.09,,,,,,,
12/31/68,417.93,,,,,,,
1/31/69,432.56,,,,,,,
2/28/69,424.94,,,,,,,
3/31/69,433.49,,,,,,,
4/30/69,441.12,,,,,,,
5/31/69,414.84,,,,,,,
6/30/69,402.78,,,,,,,
7/31/69,383.71,,,,,,,
8/31/69,383.92,,,,,,,
9/30/69,391.65,,,,,,,
10/31/69,408.65,,,,,,,
11/30/69,416.07,,,,,,,
12/31/69,455.34,,,,,,,
1/31/70,437.41,,,,,,,
2/28/70,425.45,,,,,,,
3/31/70,418.44,,,,,,,
4/30/70,383.3,,,,,,,
5/31/70,348.87,,,,,,,
6/30/70,390.41,,,,,,,
7/31/70,405.15,,,,,,,
8/31/70,404.84,,,,,,,
9/30/70,408.86,,,,,,,
10/31/70,371.65,,,,,,,
11/30/70,359.9,,,,,,,
12/31/70,359.39,,,,,,,
1/31/71,348.26,,,,,,,
2/28/71,339.19,,,,,,,
3/31/71,350.11,,,,,,,
